record_id,timestamp,seller_id,buyer_id,property_type,neighborhood,city,state,latitude,longitude,area_m2,bedrooms,bathrooms,parking_spots,year_built,furnished,condo_fee_brl,price_brl,buyer_notes
6000ccde-6ecb-408f-9c46-d553d64b2d22,2026-09-18T17:20:01.824745,S-76046944,B-C1298DE8,apartment,Penha,São Paulo,SP,-23.527397,-46.545664,220.2,4,4,3,2004,False,818.82,1715568.95,Wants to schedule a second visit with spouse.
1fb99c1f-5043-4542-9233-7f15aeaed4a3,2026-09-18T17:20:01.824907,S-ABD74EAB,,house,Jardins,São Paulo,SP,-23.566228,-46.662201,223.6,2,1,0,2005,False,0.0,1715137.07,
0566bfa7-8d4e-4299-9c24-5356dc52dd1d,2026-09-18T17:20:01.825021,S-6755A3EC,,apartment,Barra Funda,São Paulo,SP,-23.522787,-46.671739,169.1,1,2,2,2013,False,1026.93,703976.68,
5735cb1f-ce77-410f-a1bb-1f11ef66b0b6,2026-09-18T17:20:01.832505,S-0A1481F4,B-B527E08D,house,Higienópolis,São Paulo,SP,-23.540694,-46.657004,66.7,3,2,0,1995,False,0.0,1843112.59,"Very interested, likely to make an offer."
20bf7bd6-bf27-4a12-adcb-f4a5c5db40dc,2026-09-18T17:20:01.832745,S-AFC6821C,,commercial,Sacomã,São Paulo,SP,-23.607266,-46.600171,124.5,0,1,1,1988,False,313.74,2674073.86,
66d019b7-1471-4878-b28d-1e43b886c732,2026-09-18T17:20:01.832876,S-6B06408D,B-BDCFA374,apartment,Vila Madalena,São Paulo,SP,-23.553301,-46.695654,200.0,3,3,2,2018,False,1420.08,2237687.74,Prefers newly renovated units only.
f2ef3b38-a370-456c-b6e7-05fedfbd50f1,2026-09-18T17:20:01.832992,S-A3E02666,B-C3CE9693,penthouse,Vila Andrade,São Paulo,SP,-23.641962,-46.720257,38.0,5,4,1,2019,False,1625.93,4455746.54,"Interested in the view, wants to negotiate price."
f6cf76ee-833d-4fa1-99bc-faef752feb0a,2026-09-18T17:20:01.833078,S-29318BBB,,apartment,Santana,São Paulo,SP,-23.495264,-46.618816,93.0,2,3,3,1991,False,2245.57,1446947.17,
ef067eed-a4a8-47f8-9e53-b3c0c0b49646,2026-09-18T17:20:01.838367,S-FF6E791C,B-7FE88EAF,commercial,Moema,São Paulo,SP,-23.595353,-46.669518,233.5,0,1,0,1988,False,431.05,2512744.49,Wants to schedule a second visit with spouse.
edb31deb-bedc-4571-b893-80dd0663d47a,2026-09-18T17:20:01.838506,S-B4A2A0DA,,apartment,Cambuci,São Paulo,SP,-23.564664,-46.627317,130.7,1,2,0,1998,False,879.67,1567348.76,
a9ae530d-37ad-4342-8a78-ce4de0c2948e,2026-09-18T17:20:01.838627,S-A1ADC154,,apartment,Pirituba,São Paulo,SP,-23.486825,-46.726987,173.3,3,2,2,2019,True,867.53,2331537.09,
8ba1be49-f1a9-4652-a140-5a64a26746b3,2026-09-18T17:20:01.838742,S-94EA53A5,,studio,Bela Vista,São Paulo,SP,-23.561341,-46.644499,204.0,0,1,2,1990,True,2101.03,486264.63,
898c701f-8079-4483-a16d-9f3ffc4f2a65,2026-09-18T17:20:01.838824,S-F2743247,,apartment,Morumbi,São Paulo,SP,-23.625951,-46.71465,122.1,4,2,0,1984,False,430.02,1290247.51,
0a5c11c2-5258-4314-a1d3-17fb05c911d6,2026-09-18T17:20:01.838904,S-0E0D3616,,commercial,Cidade Dutra,São Paulo,SP,-23.707573,-46.655143,279.1,0,1,1,2005,False,2491.45,2700383.22,
71b97d48-cbbe-4ab7-92d0-55f77f3a4631,2026-09-18T17:20:01.838983,S-7D91C845,,commercial,Jabaquara,São Paulo,SP,-23.645181,-46.645327,75.3,0,1,2,1981,True,1666.78,417295.69,
f373df4f-56dd-404c-b498-7936feef68c3,2026-09-18T17:20:01.839082,S-F6D30989,B-9CA53B85,penthouse,Butantã,São Paulo,SP,-23.574117,-46.724022,215.4,3,4,0,1995,True,869.41,3179111.56,Needs parking for two cars.
